product_id,platform,units,revenue,ad_units,ad_revenue
A230,Instagram,323,29578.25,323,29578.25
E130,LinkedIn,993,37153.35,993,37153.35
S500,Instagram,877,166015.75,877,166015.75
A220,YouTube,412,21150.25,412,21150.25
H310,Instagram,552,36369.9,552,36369.9
E130,Organic,9744,363468.3,950,34585.2
B410,Instagram,537,14536.2,537,14536.2
B430,Organic,5939,107639.75,560,10158.35
H320,Organic,5372,178918.25,548,18012.75
A200,Organic,7011,168098.75,660,15648.75
H310,LinkedIn,528,34758.75,528,34758.75
S500,Organic,9095,1728404.55,906,173528.0
B420,LinkedIn,496,11350.8,496,11350.8
A210,Organic,5843,252276.75,602,26401.5
S520,Organic,9251,159597.9,887,15347.7
E100,Organic,4107,308929.5,399,29407.75
B410,Mailchimp,560,15066.8,560,15066.8
B410,LinkedIn,550,14698.6,550,14698.6
S520,GoogleAds,886,15312.6,886,15312.6
E120,Mailchimp,308,28893.15,308,28893.15
H310,Organic,5635,372320.55,569,37232.4
S530,Instagram,385,9979.2,385,9979.2
E120,Organic,3273,310860.0,318,29997.0
H300,Organic,2791,77354.6,241,6439.45
S520,Instagram,936,16086.6,936,16086.6
H320,YouTube,542,17953.25,542,17953.25
E130,Instagram,958,35072.7,958,35072.7
E130,YouTube,989,36777.0,989,36777.0
A220,X,408,21441.75,408,21441.75
S530,Organic,3832,98437.95,399,10223.55
E100,GoogleAds,429,32449.25,429,32449.25
S500,LinkedIn,866,164961.05,866,164961.05
B430,Instagram,628,11255.6,628,11255.6
H330,GoogleAds,515,61732.95,515,61732.95
B400,Instagram,278,8416.0,278,8416.0
S500,YouTube,985,185448.1,985,185448.1
B410,Organic,5334,142741.2,555,15005.2
S510,YouTube,414,8662.5,414,8662.5
B430,Mailchimp,566,10380.65,566,10380.65
E110,Organic,3455,489077.6,377,52760.9
E120,YouTube,345,33140.25,345,33140.25
B420,X,511,11884.8,511,11884.8
B400,LinkedIn,267,8230.4,267,8230.4
B420,Organic,5047,115551.6,421,9651.6
A230,LinkedIn,342,30656.5,342,30656.5
B420,Instagram,532,12272.4,532,12272.4
S500,Mailchimp,849,162204.9,849,162204.9
E120,Instagram,353,33600.6,353,33600.6
H300,Instagram,303,8396.95,303,8396.95
A200,Instagram,642,15576.25,642,15576.25
S510,Instagram,341,7137.9,341,7137.9
A220,Organic,3838,201536.5,354,18815.5
H310,YouTube,556,36400.95,556,36400.95
H320,LinkedIn,538,18142.25,538,18142.25
B400,X,313,9566.4,313,9566.4
S530,YouTube,442,11398.05,442,11398.05
E100,Instagram,432,32986.45,432,32986.45
B400,Organic,3067,93769.6,258,8019.2
S510,Organic,3480,72923.4,315,6638.5
A220,Instagram,427,22616.0,427,22616.0
H320,Instagram,521,17678.5,521,17678.5
H330,Organic,4423,541380.75,450,55798.95
A210,X,589,25620.75,589,25620.75
B400,YouTube,370,11432.0,370,11432.0
A230,Organic,3307,301150.0,336,30466.5
A210,Instagram,622,26991.0,622,26991.0
A230,YouTube,342,31188.5,342,31188.5
A200,LinkedIn,757,17615.0,757,17615.0
B410,YouTube,541,14413.0,541,14413.0
B430,YouTube,633,11428.5,633,11428.5
S520,YouTube,984,16663.5,984,16663.5
H330,Mailchimp,451,56263.35,451,56263.35
H300,Mailchimp,273,7567.55,273,7567.55
S510,X,340,7097.2,340,7097.2
H320,X,564,18889.5,564,18889.5
E110,YouTube,358,51621.05,358,51621.05
E130,X,932,35109.75,932,35109.75
E110,X,363,51658.3,363,51658.3
H310,Mailchimp,443,29038.65,443,29038.65
H320,GoogleAds,550,18278.75,550,18278.75
E130,Mailchimp,914,33762.3,914,33762.3
H330,YouTube,446,55037.85,446,55037.85
E130,GoogleAds,1013,38210.25,1013,38210.25
S520,X,948,16224.3,948,16224.3
B420,GoogleAds,539,12442.8,539,12442.8
S520,LinkedIn,896,15379.2,896,15379.2
S530,GoogleAds,414,10555.65,414,10555.65
H330,Instagram,428,52303.05,428,52303.05
A230,GoogleAds,350,32015.0,350,32015.0
A200,X,732,17601.25,732,17601.25
