order_id,order_date,channel,platform,ad_assisted,attribution_type,product_id,product_name,category,unit_price,quantity,discount_rate,revenue,cogs,margin,device,region,customer_id,returned
O100001,2025-01-01,social,Instagram,1,view,A230,Running Shoes,Apparel,95.0,1,0.0,95.0,38.95,56.05,tablet,US,C59678,0
O100002,2025-01-01,social,LinkedIn,1,click,E130,USB-C Hub,Electronics,39.0,4,0.0,156.0,62.4,93.6,tablet,US,C60287,0
O100003,2025-01-01,social,Instagram,1,view,S500,Adjustable Dumbbells,Sports,199.0,3,0.0,597.0,298.5,298.5,mobile,LATAM,C46855,0
O100004,2025-01-01,social,YouTube,1,view,A220,Hoodie,Apparel,55.0,1,0.0,55.0,30.8,24.2,mobile,US,C41029,0
O100005,2025-01-01,social,Instagram,1,click,H310,Weighted Blanket,Home,69.0,2,0.0,138.0,80.04,57.96,desktop,US,C20944,0
O100006,2025-01-01,website,Organic,0,organic,E130,USB-C Hub,Electronics,39.0,4,0.1,140.4,62.4,78.0,mobile,LATAM,C35187,0
O100007,2025-01-01,social,Instagram,1,view,B410,Moisturizer,Beauty,28.0,1,0.0,28.0,14.56,13.44,tablet,EU,C45168,0
O100008,2025-01-01,website,Organic,1,click,B430,Hair Oil,Beauty,19.0,1,0.15,16.15,9.69,6.46,tablet,APAC,C98358,0
O100009,2025-01-01,website,Organic,0,organic,H320,LED Desk Lamp,Home,35.0,1,0.0,35.0,13.3,21.7,tablet,APAC,C69152,0
O100010,2025-01-01,website,Organic,0,organic,A200,Athletic T-Shirt,Apparel,25.0,1,0.0,25.0,11.5,13.5,tablet,APAC,C10080,0
O100011,2025-01-01,social,LinkedIn,1,click,H310,Weighted Blanket,Home,69.0,1,0.0,69.0,40.02,28.98,mobile,US,C59988,0
O100012,2025-01-01,website,Organic,0,organic,S500,Adjustable Dumbbells,Sports,199.0,3,0.0,597.0,298.5,298.5,mobile,LATAM,C94915,0
